model_number,part_number,description,classification,series,canopy_color,frame_color,carrier_type,shipping_dims,carton_1_width,carton_1_depth,carton_1_height,product_weight_lb,pallet_weight_lb,total_product_pallet_weight_lb,location,inventory,ships_via,stock_status,warehouse_category,missing_fields,last_updated,source_file_name,source_sheet_name,source_row_number,record_key,match_key,source_classification,manual_classification,review_needed,review_notes,item_type,series_code,source_status,department,unit,oem,brand,cost,gross_weight_lb,cubic_feet,pallet_size,retail,q3_2025_retail,specs,pictures,notes,notes2
AC0800-P861T,AC0800-P861T,"08ft. Awning Cover - Beige - Product Dims: 100"" X 8.5"" X 11""",Accessory,N/A,Beige,,UPS / FedEx,16 x 13 x 4,16,13,4,2.3,0,3,,,Common Carrier | Ground Advantage,Review Needed,Accessories,series; frame_color; location; inventory,2026-05-25T20:45:57.855Z,oms_inventory_list_master.xlsx,masterlist,2,AC0800-P861T,AC0800-P861T,Accessory,false,true,"Missing: series, frame_color, location, inventory",Awning Cover,AC,Active,Fabric,ea,Z-ACCOR,,50.00,,0.5,,,,8 ft. Awning Cover - Beige,2fad6cd5-p52_i4_w2000.jpg (1100×825),600D Polyester TPE Coating,600D Polyester TPE Coating
AC0800-P862T,AC0800-P862T,"08ft. Awning Cover - Gray - Product Dims: 100"" X 8.5"" X 11""",Accessory,N/A,Gray,,UPS / FedEx,16 x 13 x 4,16,13,4,2.5,0,3,,,Common Carrier | Ground Advantage,Review Needed,Accessories,series; frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,3,AC0800-P862T,AC0800-P862T,Accessory,false,true,"Missing: series, frame_color, location, inventory",Awning Cover,AC,Active,Fabric,ea,Z-ACCOR,,52.13,,0.5,,,,"Awning Cover 8 feet, 600D Polyester TPE Coating, #862 Gray",15061924-p52_i2_w2000.jpg (493×370),Gray,600D Polyester TPE Coating
AC1000-P861T,AC1000-P861T,"10ft. Awning Cover - Beige - Product Dims: 122"" X 8.5"" X 11""",Accessory,N/A,Beige,,UPS / FedEx,16 x 13 x 4,16,13,4,2.8,0,3,,,Common Carrier | Ground Advantage,Review Needed,Accessories,series; frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,4,AC1000-P861T,AC1000-P861T,Accessory,false,true,"Missing: series, frame_color, location, inventory",Awning Cover,AC,Active,Fabric,ea,Z-ACCOR,,52.13,,0.5,,,,10 ft. Awning Cover - Beige,2fad6cd5-p52_i4_w2000.jpg (1100×825),600D Polyester TPE Coating,600D Polyester TPE Coating
AC1000-P862T,AC1000-P862T,"10ft. Awning Cover - Gray - Product Dims: 122"" X 8.5"" X 11""",Accessory,N/A,Gray,,UPS / FedEx,16 x 13 x 4,16,13,4,2.8,0,3,,,Common Carrier | Ground Advantage,Review Needed,Accessories,series; frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,5,AC1000-P862T,AC1000-P862T,Accessory,false,true,"Missing: series, frame_color, location, inventory",Awning Cover,AC,Active,Fabric,ea,Z-ACCOR,,52.13,,0.5,,,,10 ft. Awning Cover - Gray,15061924-p52_i2_w2000.jpg (493×370),600D Polyester TPE Coating,600D Polyester TPE Coating
AC1200-P861T,AC1200-P861T,"12ft. Awning Cover - Beige - Product Dims: 146"" X 8.5"" X 11""",Accessory,N/A,Beige,,UPS / FedEx,16 x 14 x 4,16,14,4,3.3,0,4,,,Common Carrier | Ground Advantage,Review Needed,Accessories,series; frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,6,AC1200-P861T,AC1200-P861T,Accessory,false,true,"Missing: series, frame_color, location, inventory",Awning Cover,AC,Active,Fabric,ea,Z-ACCOR,,52.13,,0.5,,,,12 ft. Awning Cover - Beige,2fad6cd5-p52_i4_w2000.jpg (1100×825),600D Polyester TPE Coating,600D Polyester TPE Coating
AC1200-P862T,AC1200-P862T,"12ft. Awning Cover - Gray - Product Dims: 146"" X 8.5"" X 11""",Accessory,N/A,Gray,,UPS / FedEx,16 x 14 x 4,16,14,4,6.6,0,4,,,Common Carrier | Ground Advantage,Review Needed,Accessories,series; frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,7,AC1200-P862T,AC1200-P862T,Accessory,false,true,"Missing: series, frame_color, location, inventory",Awning Cover,AC,Active,Fabric,ea,Z-ACCOR,,52.13,,0.5,,,,12 ft. Awning Cover - Gray,15061924-p52_i2_w2000.jpg (493×370),600D Polyester TPE Coating,600D Polyester TPE Coating
AC1300-P861T,AC1300-P861T,"13ft. Awning Cover - Beige - Product Dims: 159"" X 8.5"" X 11""",Accessory,N/A,Beige,,UPS / FedEx,16 x 14 x 4,16,14,4,7,0,4,,,Common Carrier | Ground Advantage,Review Needed,Accessories,series; frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,8,AC1300-P861T,AC1300-P861T,Accessory,false,true,"Missing: series, frame_color, location, inventory",Awning Cover,AC,Active,Fabric,ea,Z-ACCOR,,52.13,,0.5,,,,13 ft. Awning Cover - Beige,2fad6cd5-p52_i4_w2000.jpg (1100×825),600D Polyester TPE Coating,600D Polyester TPE Coating
AC1300-P862T,AC1300-P862T,"13ft. Awning Cover - Gray - Product Dims: 159"" X 8.5"" X 11""",Accessory,N/A,Gray,,UPS / USPS / FedEx,16 x 14 x 5,16,14,5,7,0,4,,,Common Carrier | Ground Advantage,Review Needed,Accessories,series; frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,9,AC1300-P862T,AC1300-P862T,Accessory,false,true,"Missing: series, frame_color, location, inventory",Awning Cover,AC,Active,Fabric,ea,Z-ACCOR,,52.13,,0.6,,,,13 ft. Awning Cover - Gray,15061924-p52_i2_w2000.jpg (493×370),600D Polyester TPE Coating,600D Polyester TPE Coating
AC1400-P861T,AC1400-P861T,"14ft. Awning Cover - Beige - Product Dims: 176"" X 8.5"" X 11""",Accessory,N/A,Beige,,UPS / FedEx,16 x 14 x 4,16,14,4,3.8,0,4,,,Common Carrier | Ground Advantage,Review Needed,Accessories,series; frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,10,AC1400-P861T,AC1400-P861T,Accessory,false,true,"Missing: series, frame_color, location, inventory",Awning Cover,AC,Active,Fabric,ea,Z-ACCOR,,52.13,,0.5,,,,14 ft. Awning Cover - Beige,2fad6cd5-p52_i4_w2000.jpg (1100×825),600D Polyester TPE Coating,600D Polyester TPE Coating
AC1400-P862T,AC1400-P862T,"14ft. Awning Cover - Gray - Product Dims: 176"" X 8.5"" X 11""",Accessory,N/A,Gray,,UPS / USPS / FedEx,16 x 14 x 5,16,14,5,3.8,0,4,,,Common Carrier | Ground Advantage,Review Needed,Accessories,series; frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,11,AC1400-P862T,AC1400-P862T,Accessory,false,true,"Missing: series, frame_color, location, inventory",Awning Cover,AC,Active,Fabric,ea,Z-ACCOR,,52.13,,0.6,,,,14 ft. Awning Cover - Gray,15061924-p52_i2_w2000.jpg (493×370),600D Polyester TPE Coating,600D Polyester TPE Coating
AC1600-P861T,AC1600-P861T,"16ft. Awning Cover - Beige - Product Dims: 199"" X 8.5"" X 11""",Accessory,N/A,Beige,,UPS / FedEx,16 x 14 x 5,16,14,5,8.6,0,5,,,Common Carrier | Ground Advantage,Review Needed,Accessories,series; frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,12,AC1600-P861T,AC1600-P861T,Accessory,false,true,"Missing: series, frame_color, location, inventory",Awning Cover,AC,Active,Fabric,ea,Z-ACCOR,,52.13,,0.6,,,,16 ft. Awning Cover - Beige,2fad6cd5-p52_i4_w2000.jpg (1100×825),600D Polyester TPE Coating,600D Polyester TPE Coating
AC1600-P862T,AC1600-P862T,"16ft. Awning Cover - Gray - Product Dims: 199"" X 8.5"" X 11""",Accessory,N/A,Gray,,UPS / FedEx,16 x 14 x 5,16,14,5,8.6,0,5,,,Common Carrier | Ground Advantage,Review Needed,Accessories,series; frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,13,AC1600-P862T,AC1600-P862T,Accessory,false,true,"Missing: series, frame_color, location, inventory",Awning Cover,AC,Active,Fabric,ea,Z-ACCOR,,52.13,,0.6,,,,16 ft. Awning Cover - Gray,15061924-p52_i2_w2000.jpg (493×370),600D Polyester TPE Coating,600D Polyester TPE Coating
AC1800-P861T,AC1800-P861T,"18ft. Awning Cover - Beige - Product Dims: 220"" X 8.5"" X 11""",Accessory,N/A,Beige,,UPS / FedEx,16 x 14 x 5,16,14,5,4.8,0,5,,,Common Carrier | Ground Advantage,Review Needed,Accessories,series; frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,14,AC1800-P861T,AC1800-P861T,Accessory,false,true,"Missing: series, frame_color, location, inventory",Awning Cover,AC,Active,Fabric,ea,Z-ACCOR,,52.13,,0.6,,,,18 ft. Awning Cover - Beige,2fad6cd5-p52_i4_w2000.jpg (1100×825),600D Polyester TPE Coating,600D Polyester TPE Coating
,AC1800-P862T,"18ft. Awning Cover - Gray - Product Dims: 220"" X 8.5"" X 11""",Accessory,N/A,Gray,,UPS / USPS / FedEx,16 x 14 x 5,16,14,5,4.8,0,5,,,Common Carrier | Ground Advantage,Review Needed,Accessories,series; frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,15,AC1800-P862T,AC1800-P862T,Accessory,false,true,"Missing: series, frame_color, location, inventory",Awning Cover,AC,Active,Fabric,ea,Z-ACCOR,,52.13,,0.6,,,,18 ft. Awning Cover - Gray,15061924-p52_i2_w2000.jpg (493×370),600D Polyester TPE Coating,600D Polyester TPE Coating
AWNING MATERIAL,AWNING MATERIAL,Awning Fabric Swatch-Don't use this item,,Classic Series,,,,,,,,,,,,,,Review Needed,Unknown / Review Needed,classification; canopy_color; frame_color; carrier_type; shipping_dims; carton_1_width; carton_1_depth; carton_1_height; product_weight_lb; pallet_weight_lb; total_product_pallet_weight_lb; location; inventory; ships_via,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,16,AWNING MATERIAL,AWNING MATERIAL,,false,true,"Missing: classification, canopy_color, frame_color, carrier_type, shipping_dims, carton_1_width, carton_1_depth, carton_1_height, product_weight_lb, pallet_weight_lb, total_product_pallet_weight_lb, location, inventory, ships_via Classification needs review.",,C,Inactive,Accessory,,,,52.13,,,,3.99,,Awning Fabric Swatch-Don't use this item,,,
DA4731-PBS1N,DA4731-PBS1N,Clear Solid Sheet,Awning,Door Awning,Clear-Black,,UPS,48 x 34 x 3,48,34,3,26.5,,13,,,Common Carrier | Ground Advantage,Review Needed,Awnings,frame_color; pallet_weight_lb; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,17,DA4731-PBS1N,DA4731-PBS1N,Awning,false,true,"Missing: frame_color, pallet_weight_lb, location, inventory",Door,PN,Active,Door,ea,4731in,,58.51,,2.8,,,,"Black Nylon Door Awning 47""x31"",3mm clear Solid Sheet",,"Black Nylon Fiberglass Bracket, PN Series","Black Nylon Fiberglass Bracket, PN Series"
DA4731-PWS1N,DA4731-PWS1N,Clear Solid Sheet,Awning,Door Awning,Clear-White,,UPS,48 x 34 x 3,48,34,3,26.5,,13,,,Common Carrier | Ground Advantage,Review Needed,Awnings,frame_color; pallet_weight_lb; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,18,DA4731-PWS1N,DA4731-PWS1N,Awning,false,true,"Missing: frame_color, pallet_weight_lb, location, inventory",Door,PN,Active,Door,ea,4731in,,58.51,,2.8,,,,"White Nylon Door Awning 47""x31"",3mm clear Solid Sheet",,"White Nylon Fiberglass Bracket, PN Series","White Nylon Fiberglass Bracket, PN Series"
DA4735-PSS1A,DA4735-PSS1A,Clear Solid Sheet,Awning,Door Awning,Clear-SIlver,,LTL,50 x 39 x 3,50,39,3,30.9,,14,,,Common Carrier | Ground Advantage,Review Needed,Awnings,frame_color; pallet_weight_lb; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,19,DA4735-PSS1A,DA4735-PSS1A,Awning,false,true,"Missing: frame_color, pallet_weight_lb, location, inventory",Door,PA,Active,Door,ea,4735in,,62.77,,3.4,,,,"Silver Alu. Door Awning 47""x35"", 3mm Clear Solid Sheet",,"Aluminum/Silver Bracket, PA Series","Aluminum/Silver Bracket, PA Series"
DA4735-PSS2A,DA4735-PSS2A,Tinted Gray Solid Sheet,Awning,Door Awning,Tinted-Gray,,LTL,50 x 39 x 3,50,39,3,30.9,0,14,,,LTL / Freight,Review Needed,Awnings,frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,20,DA4735-PSS2A,DA4735-PSS2A,Awning,false,true,"Missing: frame_color, location, inventory",Door,PA,Active,Door,ea,4731in,,62.77,,3.4,,,,"Silver Alu. Door Awning 47""x35"", 3mm Tinted Gray Solid Sheet",,,
DA4735-PSS3A,DA4735-PSS3A,Frosted Solid Sheet,Awning,Door Awning,Frosted,,LTL,50 x 39 x 3,50,39,3,30.9,,14,,,Common Carrier | Ground Advantage,Review Needed,Awnings,frame_color; pallet_weight_lb; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,21,DA4735-PSS3A,DA4735-PSS3A,Awning,false,true,"Missing: frame_color, pallet_weight_lb, location, inventory",Door,PA,Active,Door,ea,4731in,,73.4,,3.4,,,,"Silver Alu. Door Awning 47""x35"", 3mm Frosted Solid Sheet",,,
DA5531-PBS1N,DA5531-PBS1N,Clear Solid Sheet,Awning,Door Awning,Clear-Black,,UPS,56 x 34 x 3,56,34,3,28,,14,,,Common Carrier | Ground Advantage,Review Needed,Awnings,frame_color; pallet_weight_lb; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,22,DA5531-PBS1N,DA5531-PBS1N,Awning,false,true,"Missing: frame_color, pallet_weight_lb, location, inventory",Door,PN,Active,Door,ea,5531in,,73.4,,3.3,,,,"Black Nylon Door Awning 55""x31"",3mm clear Solid Sheet",,"Nylon Fiberglass Bracket, PN Series","Nylon Fiberglass Bracket, PN Series"
DA5531-PWS1N,DA5531-PWS1N,Clear Solid Sheet,Awning,Door Awning,Clear-White,,UPS,56 x 34 x 3,56,34,3,28,,14,,,Common Carrier | Ground Advantage,Review Needed,Awnings,frame_color; pallet_weight_lb; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,23,DA5531-PWS1N,DA5531-PWS1N,Awning,false,true,"Missing: frame_color, pallet_weight_lb, location, inventory",Door,PN,Active,Door,ea,5531in,,84.04,,3.3,,,,"White Nylon Door Awning 55""x31"",3mm Clear Solid Sheet",,"Nylon Fiberglass Bracket, PN Series","Nylon Fiberglass Bracket, PN Series"
DA5535-GGL1A,DA5535-GGL1A,Clear Glass,Awning,Door Awning,Glass,,LTL,37 x 59 x 7,37,59,7,146,44,117,,,Common Carrier | Ground Advantage,Review Needed,Awnings,frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,24,DA5535-GGL1A,DA5535-GGL1A,Awning,false,true,"Missing: frame_color, location, inventory",Door,GA,Active,Door,ea,5535in,,84.04,,8.8,,,,Tempered Glass Door Awning 55x35 inch,,4+4mm Laminated Tempered Glass+PVB film 0.76mm,4+4mm Laminated Tempered Glass+PVB film 0.76mm
DA5935-PSS1A,DA5935-PSS1A,Clear Solid Sheet,Awning,Door Awning,Clear-SIlver,,LTL,62 x 39 x 3,62,39,3,33.8,,17,,,Common Carrier | Ground Advantage,Review Needed,Awnings,frame_color; pallet_weight_lb; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,25,DA5935-PSS1A,DA5935-PSS1A,Awning,false,true,"Missing: frame_color, pallet_weight_lb, location, inventory",Door,PA,Active,Door,ea,5935in,,94.68,,4.2,,,,"Silver Alu.Door Awning 59""x35"",3mm Clear Solid sheet",,"Aluminum/Silver Bracket, PA Series","Aluminum/Silver Bracket, PA Series"
DA5935-PSS2A,DA5935-PSS2A,Tinted Gray Solid Sheet,Awning,Door Awning,Tinted-Gray,,LTL,62 x 39 x 3,62,39,3,33.8,0,17,,,LTL / Freight,Review Needed,Awnings,frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,26,DA5935-PSS2A,DA5935-PSS2A,Awning,false,true,"Missing: frame_color, location, inventory",Door,PA,Active,Door,ea,5935in,,94.68,,4.2,,,,"Silver Alu.Door Awning 59x35"",3mm Tinted Gray Solid sheet",,Aluminum/Silver Bracket,"Aluminum/Silver Bracket, PA Series"
DA5935-PSS3A,DA5935-PSS3A,Frosted Solid Sheet,Awning,Door Awning,Frosted,,LTL,62 x 39 x 3,62,39,3,33.8,,17,,,Common Carrier | Ground Advantage,Review Needed,Awnings,frame_color; pallet_weight_lb; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,27,DA5935-PSS3A,DA5935-PSS3A,Awning,false,true,"Missing: frame_color, pallet_weight_lb, location, inventory",Door,PA,Active,Door,ea,5935in,,105.32,,4.2,,,,"Silver Alu.Door Awning 59x35"",3mm Frosted Solid sheet",,Aluminum/Silver Bracket,"Aluminum/Silver Bracket, PA Series"
DA6339-GGL1A,DA6339-GGL1A,Clear Glass,Awning,Door Awning,Glass,,LTL,41 x 69 x 7,41,69,7,176.4,44,132,,,Common Carrier | Ground Advantage,Review Needed,Awnings,frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,28,DA6339-GGL1A,DA6339-GGL1A,Awning,false,true,"Missing: frame_color, location, inventory",Door,GA,Active,Door,ea,6339in,,105.32,,11.5,,,,Tempered Glass Door Awning 63x39 inch,,4+4mm Laminated Tempered Glass+PVB film 0.76mm,4+4mm Laminated Tempered Glass+PVB film 0.76mm
DA7935-PGS2A,DA7935-PGS2A,Tinted Gray Solid Sheet,Awning,Door Awning,Tinted-Clear Glass,,SP,19 x 42 x 3,19,42,3,28.6,0,29,,,LTL / Freight,Review Needed,Awnings,frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,29,DA7935-PGS2A,DA7935-PGS2A,Awning,false,true,"Missing: frame_color, location, inventory",Door,PS,Active,Door,ea,9435in,,,,1.4,,,,"Charcoal Gray Alu.Door Awning 79""x35"",3mm Tinted Gray",,"Solid sheet, Powder Coating Steel Bracket, PS Series","Solid sheet, Powder Coating Steel Bracket, PS Series"
DA7935-PSS1A,DA7935-PSS1A,Clear Solid Sheet,Awning,Door Awning,Clear-SIlver,,LTL,82 x 40 x 4,82,40,4,46.3,,23,,,Common Carrier | Ground Advantage,Review Needed,Awnings,frame_color; pallet_weight_lb; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,30,DA7935-PSS1A,DA7935-PSS1A,Awning,false,true,"Missing: frame_color, pallet_weight_lb, location, inventory",Door,PA,Active,Door,ea,7935in,,123,,7.6,,,,"Silver Alu.Door Awning 79""x35"",3mm Clear Solid sheet",,"Aluminum/Silver Bracket, PA Series","Aluminum/Silver Bracket, PA Series"
DA7935-PSS2A,DA7935-PSS2A,Tinted Gray Solid,Awning,Door Awning,Tinted-Gray,,LTL,82 x 40 x 4,82,40,4,23.2,0,23,,,LTL / Freight,Review Needed,Awnings,frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,31,DA7935-PSS2A,DA7935-PSS2A,Awning,false,true,"Missing: frame_color, location, inventory",Door,PA,Active,Door,ea,7935in,,123,,7.6,,,,"Silver Alu.Door Awning 79""x35"",3mm Tinted Gray Solid sheet",,"Aluminum/Silver Bracket, PA Series","Aluminum/Silver Bracket, PA Series"
DA9435-PGS2A,DA9435-PGS2A,Tinted Gray Solid Sheet,Awning,Door Awning,Tinted-Clear Glass,,SP,19 x 50 x 3,19,50,3,33,0,33,,,LTL / Freight,Review Needed,Awnings,frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,32,DA9435-PGS2A,DA9435-PGS2A,Awning,false,true,"Missing: frame_color, location, inventory",Door,PS,Active,Door,ea,9435in,,159,,1.6,,,,"Charcoal Gray Alu.Door Awning 94""x35"",3mm Tinted Gray",,"Solid sheet, Powder Coating Steel Bracket, PS Series","Solid sheet, Powder Coating Steel Bracket, PS Series"
DA9435-PSS1A,DA9435-PSS1A,Clear Solid Sheet,Awning,Door Awning,Clear-SIlver,,LTL,98 x 40 x 4,98,40,4,55.1,,28,,,Common Carrier | Ground Advantage,Review Needed,Awnings,frame_color; pallet_weight_lb; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,33,DA9435-PSS1A,DA9435-PSS1A,Awning,false,true,"Missing: frame_color, pallet_weight_lb, location, inventory",Door,PA,Active,Door,ea,9435in,,349,,9.1,,,,"Silver Alu.Door Awning 94""x35"",3mm Clear Solid sheet",,"Aluminum/Silver Bracket, PA Series","Aluminum/Silver Bracket, PA Series"
DA9435-PSS2A,DA9435-PSS2A,Tinted Gray Solid,Awning,Door Awning,Tinted-Gray,,LTL,98 x 40 x 4,98,40,4,27.6,0,28,,,LTL / Freight,Review Needed,Awnings,frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,34,DA9435-PSS2A,DA9435-PSS2A,Awning,false,true,"Missing: frame_color, location, inventory",Door,PA,Active,Door,ea,9435in,,159,,9.1,,,,"Silver Alu.Door Awning 94""x35"",3mm Tinted Gray Solid sheet",,"Aluminum/Silver Bracket, PA Series","Aluminum/Silver Bracket, PA Series"
,EA0807-A001H2,"Motorized Awning,8.2x6.6,Acrylic-A001,Remote,Semi-Cassetle",Awning,Door Awning,X,,,,,,,,,,,,,Review Needed,Awnings,frame_color; carrier_type; shipping_dims; carton_1_width; carton_1_depth; carton_1_height; product_weight_lb; pallet_weight_lb; total_product_pallet_weight_lb; location; inventory; ships_via,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,35,EA0807-A001H2,EA0807-A001H2,Awning,false,true,"Missing: frame_color, carrier_type, shipping_dims, carton_1_width, carton_1_depth, carton_1_height, product_weight_lb, pallet_weight_lb, total_product_pallet_weight_lb, location, inventory, ships_via",Door,X,Inactive,Electric,ea,0807ft,,145,,,,,,"Motorized Awning,8.2x6.6,Acrylic-A001,Remote,Semi-Cassetle",,"Red & Multi Stripe,Remote & Manual Override",
EA0807-A202H,EA0807-A202H,Indigo & Black Tweed,Awning,Classic Series,A202,,LTL,104 x 14 x 13,104,14,13,132.2,0,66,,4,LTL / Freight,In Stock,Awnings,frame_color; location,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,36,EA0807-A202H,EA0807-A202H,Awning,false,true,"Missing: frame_color, location",Electric,C,Active,Electric,ea,0807ft,,145,,11,,,,"Motorized Retractable Awning8.2'x6.6'/7.8x6.6, Acrylic-A202,",,"Aluminum Protective Hood,Indigo and Black, Dutch Weave","Aluminum Protective Hood Indigo & Black, Dutch Weave"
EA0807-A208H,EA0807-A208H,Canvas Umber,Awning,Classic Series,A208,,LTL,104 x 14 x 13,104,14,13,132.2,0,66,,6,LTL / Freight,In Stock,Awnings,frame_color; location,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,37,EA0807-A208H,EA0807-A208H,Awning,false,true,"Missing: frame_color, location",Electric,C,Active,Electric,ea,0807ft,,,,11,,,,"Motorized Retractable Awning 8.2""x6.6"",Acrylic-A208,Remote,S",,"Canvas Umber, Aluminum Protective Hood,","Canvas Umber, Aluminum Protective Hood"
EA0807-A222H,EA0807-A222H,Forest Green w/ Cream Stripes,Awning,Classic Series,A222,,LTL,104 x 14 x 13,104,14,13,132.2,0,66,,,LTL / Freight,Review Needed,Awnings,frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,38,EA0807-A222H,EA0807-A222H,Awning,false,true,"Missing: frame_color, location, inventory",Electric,C,Inactive,Electric,ea,0807ft,,181,,11,,,,"Motorized Retractable Awning,8.2x6.6/7.8x6.6,Acrylic-A222,Re",,"Forest Green & Cream Stripes, Aluminum Protective Hood,","Forest Green w/ Beige Stripes, Aluminum Protective Hood"
,EA0807-A319H,"Motorized Awning 8.2'x6.6', Acrylic-A313, Remote,W/Hood",Awning,Classic Series,X,,,,,,,,,,,,,Review Needed,Awnings,frame_color; carrier_type; shipping_dims; carton_1_width; carton_1_depth; carton_1_height; product_weight_lb; pallet_weight_lb; total_product_pallet_weight_lb; location; inventory; ships_via,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,39,EA0807-A319H,EA0807-A319H,Awning,false,true,"Missing: frame_color, carrier_type, shipping_dims, carton_1_width, carton_1_depth, carton_1_height, product_weight_lb, pallet_weight_lb, total_product_pallet_weight_lb, location, inventory, ships_via",Electric,X,Inactive,Electric,ea,,,427,,,,,,"Motorized Awning 8.2'x6.6', Acrylic-A313, Remote,W/Hood",,"Green & Multi Stripe, Aluminum Protective Hood,",
EA0807-A332H,EA0807-A332H,Natural Beige w/ Brick Red Stripes,Awning,Classic Series,A332,,LTL,104 x 14 x 13,104,14,13,132.2,0,66,,5,LTL / Freight,In Stock,Awnings,frame_color; location,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,40,EA0807-A332H,EA0807-A332H,Awning,false,true,"Missing: frame_color, location",Electric,C,Active,Electric,ea,0807ft,,181,,11,,,,"Motorized Retractable Awning8.2'x6.6'/7.8x6.6, Acrylic-A332,",,"Natural Beige & Brick Red Stripes, Aluminum Protective Hood,","Natural Beige w/ Brick Red Stripes, Aluminum Protective Hood"
,EA0807-A601H1,"Motorized Awning,8.2x6.6/7.9'x6.6,Acrylic-A601,Remote,w/hood",Awning,Classic Series,X,,,,,,,59.5,,,,,,Review Needed,Awnings,frame_color; carrier_type; shipping_dims; carton_1_width; carton_1_depth; carton_1_height; pallet_weight_lb; total_product_pallet_weight_lb; location; inventory; ships_via,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,41,EA0807-A601H1,EA0807-A601H1,Awning,false,true,"Missing: frame_color, carrier_type, shipping_dims, carton_1_width, carton_1_depth, carton_1_height, pallet_weight_lb, total_product_pallet_weight_lb, location, inventory, ships_via",Electric,X,Inactive,Electric,ea,0807ft,,,,,,,,"Motorized Awning,8.2x6.6/7.9'x6.6,Acrylic-A601,Remote,w/hood",,"Green & Multi Stripe, Aluminum Protective Hood,",
EA1008-A100H2,EA1008-A100H2,Khaki,Awning,Luxury Series,R100,,LTL,126 x 15 x 11,126,15,11,150,0,84,,,LTL / Freight,Review Needed,Awnings,frame_color; location; inventory,2026-05-25T18:58:27.413Z,oms_inventory_list_master.xlsx,masterlist,42,EA1008-A100H2,EA1008-A100H2,Awning,false,true,"Missing: frame_color, location, inventory",Electric,L,Active,Electric,ea,1008ft,,599.25,,12,,,,"Motorized Retractable Awning,10X8,Acrylic-R100,Remote,Semi-C",,"Khaki, Aluminum Protective Hood","Khaki, Aluminum Protective Hood"
